단지명,업체명,전화번호,종업원수,생산품,공장대표주소(도로명),공장대표주소(지번),업종명,관리기관,관리기관전화번호,데이터기준일자
원주태장농공단지,반곡이엔지,033-746-9086,3,자동제어반,강원도 원주시 태장공단길 42-1 (태장동),강원도 원주시 태장동 1720-60,배전반 및 전기 자동제어반 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,보성엔티,033-747-6116,37,"수배전반, 계장제어장치, 자동제어반, 펌프, 밸브, 여과기, 송풍기, 탈취기",강원도 원주시 태장공단길 38 (태장동),강원도 원주시 태장동 1720-30번지,"탭, 밸브 및 유사장치 제조업 외 11 종",강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,보성엔티 제2공장,033-747-6116,43,보건용마스크,강원도 원주시 태장공단길 36 (태장동),강원도 원주시 태장동 1720-59,의료용품 및 기타 의약 관련제품 제조업,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,비.씨.에이취 주식회사,033-732-5429,14,"전선리휠,파렛트,금형",강원도 원주시 문막읍 문막공단길 244,강원도 원주시 문막읍 반계리 5-10번지,운송장비 조립용 플라스틱제품 제조업 외 5 종,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,비콤시스템(주),033-732-7151,19,"원격감시제어장치,전송제어기기",강원도 원주시 문막읍 문막공단길 53 (비콤시스템),강원도 원주시 문막읍 반계리 5-18번지,배전반 및 전기 자동제어반 제조업 외 8 종,강원도 원주시,033-737-2982,2021-10-31
원주우산일반산업단지,사조동아원(주),033-742-8941,18,사료,강원도 원주시 우산로 170 (우산동),강원도 원주시 우산동 333-3번지,배합 사료 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,사회복지법인 보성복지재단,033-734-6161,11,수배전반 등,강원도 원주시 태장공단길 36 (태장동),강원도 원주시 태장동 1720-59번지,배전반 및 전기 자동제어반 제조업 외 8 종,강원도 원주시,033-737-2982,2021-10-31
원주동화일반산업단지,삼아제약주식회사,033-769-8400,296,의약품,강원도 원주시 문막읍 동화공단로 49,강원도 원주시 문막읍 동화리 1676-0번지,완제 의약품 제조업,강원도 원주시,033-737-2982,2021-10-31
원주우산일반산업단지,삼양내츄럴스 주식회사,033-734-5775,29,"볶음참깨, 참기름, 야채스프","강원도 원주시 우산로 177 (우산동, 삼양식품공장)",강원도 원주시 우산동 390번지,식물성 유지 제조업 외 2 종,강원도 원주시,033-737-2982,2021-10-31
원주우산일반산업단지,삼양식품(주),033-740-8200,907,"라면,스넥,장류,식용유",강원도 원주시 우산로 177 (우산동),강원도 원주시 우산동 390-3,"면류, 마카로니 및 유사식품 제조업 외 2 종",강원도 원주시,033-737-2982,2021-10-31
원주우산일반산업단지,삼양제분 주식회사,033-813-1922,4,밀가루,"강원도 원주시 우산로 177 (우산동, 삼양식품공장)",강원도 원주시 우산동 390번지 삼양식품공장,곡물 제분업,강원도 원주시,033-737-2982,2021-10-31
원주문막지방산업단지,삼영금속공업(주),053-583-3480,5,조향장치,강원도 원주시 문막읍 문막공단길 188 (삼영금속공업㈜),강원도 원주시 문막읍 반계리 2231번지,자동차용 신품 조향장치 및 현가 장치 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,상선정보기술(주),033-747-6364,10,"스마트헬스케어의료기기, sos긴급버튼","강원도 원주시 태장공단길 42-10, 3동 106호 (태장동)",강원도 원주시 태장동 1720-26번지,그 외 기타 의료용 기기 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,상원(주),033-746-5999,2,수소수 제조기,"강원도 원주시 태장공단길 51, A-205 (태장동, 원주창업보육센터)",강원도 원주시 태장동 1720-38번지 원주창업보육센터 A-205,액체 여과기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주문막지방산업단지,성경산업(주),033-731-0095,25,자동차 조향장치 부품,강원도 원주시 문막읍 문막공단길 200,강원도 원주시 문막읍 반계리 2222번지,자동차용 신품 조향장치 및 현가 장치 제조업,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,성우아이엔씨,033-748-8497,4,x-ray용 전자기판,강원도 원주시 문막읍 동화공단로 147-1,강원도 원주시 문막읍 동화리 1667-7번지,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주문막지방산업단지,세경산업(주),033-733-8600,9,우레탄보드,강원도 원주시 문막읍 문막공단길 182,강원도 원주시 문막읍 반계리 2230번지,폴리스티렌 발포 성형제품 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,세광정보통신(주),033-744-4133,5,"cctv, 스피커, 전광판",강원도 원주시 태장동 1720-60번지,강원도 원주시 태장동 1720-60번지,방송장비 제조업 외 2 종,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,세정,033-900-2037,2,에어로졸마스크,강원도 원주시 문막읍 동화공단로 107-1,강원도 원주시 문막읍 동화리 1667-1번지,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,셉테드솔루션(주),ARS-1522-5709,4,"LED보안등기구(CCTV), 보행신호음성안내보조장치, 구내방송장치(스피커)","강원도 원주시 태장공단길 51, A동 205호(태장동, 원주창업보육센터)",강원도 원주시 태장동 1720-38 원주창업보육센터 A동 205호,일반용 전기 조명장치 제조업 외 2 종,강원도 원주시,033-737-2982,2021-10-31
원주동화일반산업단지,송암시스콤(주),033-737-8301,56,"전력전자, 광전송장치, 전력량계, 비디오용카메라, 카메라, 확대경, 전기신호장치, 변압기",강원도 원주시 문막읍 동화공단로 32 (총 4 필지),강원도 원주시 문막읍 동화리 1672-1번지,배전반 및 전기 자동제어반 제조업 외 28 종,강원도 원주시,033-737-2982,2021-10-31
원주문막지방산업단지,스탠다드펌(주),033-733-2330,62,알루미늄빌레트,강원도 원주시 문막읍 반계리 2236-6번지 외 1필지,강원도 원주시 문막읍 반계리 2236-6번지 외 1필지,"전자기 측정, 시험 및 분석기구 제조업",강원도 원주시,033-737-2982,2021-10-31
원주우산일반산업단지,신성유지,033-748-8980,15,"단미사료, 동물사료",강원도 원주시 우산로 208 (우산동),강원도 원주시 우산동 400-3번지,배합 사료 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,신영산업,033-731-4449,,,강원도 원주시 문막읍 문막공단길 69,강원도 원주시 문막읍 반계리 2194-0번지,비주거용 건물 임대업,강원도 원주시,033-737-2982,2021-10-31
원주동화일반산업단지,신영테크,033-747-7041,14,면도기 케이스,강원도 원주시 문막읍 동화공단로 85-8,강원도 원주시 문막읍 동화리 1680-8번지,운송장비 조립용 플라스틱제품 제조업 외 2 종,강원도 원주시,033-737-2982,2021-10-31
원주우산일반산업단지,신원화학주식회사,033-742-6220,21,"스치로폴 완충재,단열재",강원도 원주시 우산공단길 8-41 (우산동),강원도 원주시 우산동 405-13번지,폴리스티렌 발포 성형제품 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,심로악기(주),033-731-7861,3,현악기제조,강원도 원주시 문막읍 문막공단길 45 (심로악기),강원도 원주시 문막읍 반계리 5-4번지,기타 악기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,싸이러스,070-8807-2308,1,자전거 및 환자용 차량,"강원도 원주시 태장공단길 54-4, 3층 (태장동, 한미실업(주))",강원도 원주시 태장동 1720-13번지 한미실업(주) 3층,자전거 및 환자용 차량 제조업,강원도 원주시,033-737-2982,2021-10-31
원주동화일반산업단지,쌍용자동차 주식회사,031-610-1692,35,창고,강원도 원주시 문막읍 동화공단로 19,강원도 원주시 문막읍 동화리 1678-1번지,일반 창고업,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,씨알에이파이핑코리아(주),070-8290-6407,4,임플란트,"강원도 원주시 문막읍 동화공단로 130-2, 원주벤처공장 2동 102호",강원도 원주시 문막읍 동화리 1642-5번지 원주벤처공장 2동 102호,정형외과용 및 신체보정용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,씨앤씨케어,33,,정형용운동장치,강원도 원주시 문막읍 동화공단로 152,강원도 원주시 문막읍 동화리 1652-3번지,정형외과용 및 신체보정용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,씨엔브이텍(주),033-813-3118,6,안압계,"강원도 원주시 태장공단길 42-10, 4동 104호 (태장동)",강원도 원주시 태장동 1720-26번지 4동 104호,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,씨엔아이전자(주),033-731-0841,40,에나멜동선,강원도 원주시 문막읍 문막공단길 201 (문막읍),강원도 원주시 문막읍 반계리 5-20번지,기타 절연선 및 케이블 제조업,강원도 원주시,033-737-2982,2021-10-31
원주우산일반산업단지,아산농산,033-745-4743,4,동부분말,강원도 원주시 우산로 180-18 (우산동),강원도 원주시 우산동 411-13번지,전분제품 및 당류 제조업,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,아세아세라믹,033-766-8148,2,"인조대리석 절단, 가공",강원도 원주시 문막읍 문막공단길 71,강원도 원주시 문막읍 반계리 2184번지,건설용 석제품 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,아신펌프테크,033-900-8771,5,"펌프,모터기계장치","강원도 원주시 태장공단길 54-2 (태장동, (주)아신)",강원도 원주시 태장동 1720-12번지 (주)아신,액체 펌프 제조업,강원도 원주시,033-737-2982,2021-10-31
원주동화일반산업단지,아이누리,033-744-2486,16,과자류,"강원도 원주시 문막읍 동화공단로 62-1, 나동, 다동","강원도 원주시 문막읍 동화리 1668-3 나동, 다동",과자류 및 코코아 제품 제조업,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,아이에스피 메딕스,033-731-1184,4,"요실금 치료용 띠, 이식용메쉬","강원도 원주시 문막읍 동화공단로 147-1, 7호",강원도 원주시 문막읍 동화리 1667-7번지,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,에이엠티(AMT),033-763-1973,3,액체펌프,"강원도 원주시 태장공단길 51, D동 6호 (태장동, 원주창업보육센터)",강원도 원주시 태장동 1720-38번지 원주창업보육센터 D동 6호,액체 펌프 제조업 외 2 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,엘투,033-734-5582,6,"led등기구,LED경관조명, 컨트롤러장치","강원도 원주시 태장공단길 42-9 (태장동, 삼원포장)",강원도 원주시 태장동 1720-18번지,일반용 전기 조명장치 제조업 외 7 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,예온건설 주식회사,033-763-0456,15,"상하수설비자재,토목공사용자재,스톤네트",강원도 원주시 태장공단길 37 (태장동),강원도 원주시 태장동 1720-40번지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 8 종,강원도 원주시,033-737-2982,2021-10-31
원주문막지방산업단지,오승푸드,033-732-2632,2,누룽지,강원도 원주시 문막읍 문막공단길 103 ㈜영화제이공장,강원도 원주시 문막읍 반계리 2236-4 ㈜영화제이공장,기타 곡물 가공품 제조업,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,오토리브유한회사,033-730-2012,309,"seat belt, air bag",강원도 원주시 문막읍 문막공단길 202 (오토리브주식회사),강원도 원주시 문막읍 반계리 5-30번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,우리 태양광발전소,,,전기,강원도 원주시 태장공단길 42-7 (태장동),강원도 원주시 태장동 1720-19,태양력 발전업,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,원광산업주식회사,033-732-0996,42,주물중자,강원도 원주시 문막읍 문막공단길 224,강원도 원주시 문막읍 반계리 5-13번지,그 외 기타 분류 안된 비금속 광물제품 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주우산일반산업단지,원주전통한지,033-761-5193,3,한지,강원도 원주시 우산로 180-22 (우산동),강원도 원주시 우산동 411-18번지,기타 종이 및 판지 제조업 외 2 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,원주창업보육센터,02-769-6543,5,부동산 임대,"강원도 원주시 태장공단길 51 (태장동, 원주창업보육센터)",강원도 원주시 태장동 1720-38번지,비주거용 건물 개발 및 공급업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,웰텍,070-7576-1665,2,"디밍제어기, 태양광 조명제어기 외",강원도 원주시 태장공단길 42-1 (태장동),강원도 원주시 태장동 1720-22번지,일반용 전기 조명장치 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,윔코리아(주),033-743-7959,2,"안전장치,창호,LED광고물","강원도 원주시 태장공단길 51, 창업보육센터, C-4호 (태장동, 원주창업보육센터)","강원도 원주시 태장동 1720-38번지 원주창업보육센터 창업보육센터, C-4호",목재문 및 관련제품 제조업 외 2 종,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,유니스파테크(주),033-748-9064,12,전기마사지기,강원도 원주시 문막읍 동화공단로 110,강원도 원주시 문막읍 동화리 1647-3,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주우산일반산업단지,유민철강(주),032-569-5080,6,금속관,강원도 원주시 우산공단길 38(우산동),강원도 원주시 우산동 333-15,절삭가공 및 유사처리업,강원도 원주시,033-737-2982,2021-10-31
원주우산일반산업단지,유성씨앤에프(주),033-737-1772,79,타일연질,"강원도 원주시 우산공단길 8-33 (우산동, 유성화학㈜공장)",강원도 원주시 우산동 405-15번지,벽 및 바닥 피복용 플라스틱제품 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,윤경산업,033-745-6030,1,낚시장비,"강원도 원주시 태장공단길 42-1, 2층 203호 (태장동)",강원도 원주시 태장동 1720-60번지 2층 203호,낚시 및 수렵용구 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,은도메디텍,033-747-0078,6,채혈관,"강원도 원주시 태장공단길 42-10, 1동 124호 (태장동)",강원도 원주시 태장동 1720-26번지,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주문막지방산업단지,이화PNC,033-732-9700,103,화장품용기,강원도 원주시 문막읍 문막공단길 194 외 1필지,강원도 원주시 문막읍 반계리 2225번지 외 1필지,포장용 플라스틱 성형용기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주동화일반산업단지,인테그리스코리아 주식회사,033-737-8447,81,반도체부품 및 플라스틱 성형,강원도 원주시 문막읍 동화공단로 85-4,강원도 원주시 문막읍 동화리 1680-4,"탭, 밸브 및 유사장치 제조업",강원도 원주시,033-737-2982,2021-10-31
원주자동차부품일반산업단지,인하테크(주),033-733-4200,91,기어박스,강원도 원주시 문막읍 세오름길 20,강원도 원주시 문막읍 동화리 1715번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주문막지방산업단지,일륭기공(주),033-732-9870,102,자동차조향장치,강원도 원주시 문막읍 문막공단길 198 (일륭기공㈜문막공장),강원도 원주시 문막읍 반계리 2223번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주동화일반산업단지,재아산업(주),033-742-4854,11,"금형, 컨베이어, 배수문, 자동차부품",강원도 원주시 문막읍 동화리 1671-3번지 외 1필지(1671-4),강원도 원주시 문막읍 동화리 1671-3번지 외 1필지(1671-4),주형 및 금형 제조업 외 6 종,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,제이엠피산업(주)원주공장,033-745-1990,7,지대,강원도 원주시 문막읍 문막공단길 235,강원도 원주시 문막읍 반계리 5-5번지,종이 포대 및 가방 제조업,강원도 원주시,033-737-2982,2021-10-31
원주동화일반산업단지,주식회사 금강페이버,032-624-3611,3,라인용 에폭시수지,강원도 원주시 문막읍 동화공단로 62-1,강원도 원주시 문막읍 동화리 1668-3,합성수지 및 기타 플라스틱 물질 제조업,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,주식회사 네오메디코리아,,2,배액관 고정용판,"강원도 원주시 문막읍 동화공단로 130-2, 207호",강원도 원주시 문막읍 동화리 1642-5번지 207호,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,주식회사 동산이엔지,033-733-0487,14,"환경기계, 산업기계, 단조제품, 경량골재혼화제, 원심력혼화제",강원도 원주시 문막읍 문막공단길 220,강원도 원주시 문막읍 반계리 5-28번지,금속 단조제품 제조업 외 2 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,주식회사 마루치,033-734-0330,2,근관충전제,"강원도 원주시 태장공단길 42-10, 원주의료기기산업기술단지 2-208 (태장동)",강원도 원주시 태장동 1720-26번지 원주의료기기산업기술단지 2-208,의료용품 및 기타 의약 관련제품 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,주식회사 만나,033-904-5574,30,"유제품, 치즈 가공식품",강원도 원주시 태장공단길 54-13 (태장동),강원도 원주시 태장동 1720-55,액상시유 및 기타 낙농제품 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,주식회사 메카,070-7642-9582,1,미용기기 셀리젯,강원도 원주시 태장공단길 42-10 (태장동) 원주의료기기산업기술단지 1동 129호,강원도 원주시 태장동 1720-26 원주의료기기산업기술단지 1동 129호,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주우산일반산업단지,주식회사 삼양프루웰,033-744-2937,29,"원지,종이박스","강원도 원주시 우산로 177 (우산동, 삼양식품공장)",강원도 원주시 우산동 390번지,판지 상자 및 용기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주우산일반산업단지,주식회사 삼양프루웰 제2공장,033-744-2937,29,골판지 상자,강원도 원주시 우산로 177 (우산동),강원도 원주시 우산동 390-5,판지 상자 및 용기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,주식회사 스포컴,02-862-5555,50,"도수 수경 및 스포츠글라스, 마스크",강원도 원주시 문막읍 동화공단로 101-3,강원도 원주시 문막읍 동화리 1665-3번지,안경 및 안경렌즈 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,주식회사 아이넥스,033-731-9201,3,"LED등기구, LED경관조명","강원도 원주시 태장공단길 51, D동 1호(태장동, 원주창업보육센터)",강원도 원주시 태장동 1720-38 원주창업보육센터 D동 1호,전구 및 램프 제조업 외 2 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,주식회사 안도,033-745-1714,1,"시선유도봉,볼라드","강원도 원주시 태장공단길 51, 에이동 101호(태장동) (태장동, 원주창업보육센터)",강원도 원주시 태장동 1720-38번지 원주창업보육센터 에이동 101호(태장동),금속 표시판 제조업,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,주식회사 안코바이오플라스틱스,033-731-5845,31,"PBAT, PBS",강원도 원주시 문막읍 문막공단길 216,강원도 원주시 문막읍 반계리 5-29번지,합성수지 및 기타 플라스틱 물질 제조업 외 2 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,주식회사 엘칸,033-734-3422,6,골밀도 진단기,"강원도 원주시 태장공단길 42-10, 1동 207호, 112호 (태장동)","강원도 원주시 태장동 1720-26번지 1동 207호, 112호",방사선 장치 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,주식회사 웰프,033-743-4561,4,"모터펌프, 수문, 액체여과기",강원도 원주시 태장공단길 59 (태장동),강원도 원주시 태장공단길 59 (태장동),액체 펌프 제조업 외 5 종,강원도 원주시,033-737-2982,2021-10-31
원주우산일반산업단지,주식회사 이엠,033-744-2611,2,금속천장재,강원도 원주시 우산공단길 26-11 (우산동),강원도 원주시 우산동 411-12,구조용 금속 판제품 및 공작물 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,주식회사 정한,033-764-8610,9,"보안용카메라, 영상감지장치, 차량번호판독기, 출입통제시스템, 태양광발전장치",강원도 원주시 태장공단길 42-1 (태장동),강원도 원주시 태장동 1720-22,방송장비 제조업 외 7 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,주식회사 지에이,033-734-5000,3,LED 조명,강원도 원주시 태장공단길 42-1 (태장동),강원도 원주시 태장동 1720-22,일반용 전기 조명장치 제조업 외 2 종,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,주식회사 진명,033-762-4000,5,"디자인울타리, 금속구조물외",강원도 원주시 문막읍 문막공단길 71,강원도 원주시 문막읍 문막공단길 71,"금속 문, 창, 셔터 및 관련제품 제조업 외 6 종",강원도 원주시,033-737-2982,2021-10-31
원주자동차부품일반산업단지,주식회사 티제이아이,,1,필터류,강원도 원주시 문막읍 세오름길 38,강원도 원주시 문막읍 동화리 1703번지,그 외 자동차용 신품 부품 제조업,강원도 원주시,033-737-2982,2021-10-31
원주문막지방산업단지,주식회사 프라이맥스 제2공장,033-731-0677,17,조향장치,강원도 원주시 문막읍 문막공단길 180 (문막읍),강원도 원주시 문막읍 반계리 2229번지,"산업용 오븐, 노 및 노용 버너 제조업 외 10 종",강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,주식회사고니메드,033-745-9588,5,체내형범용프로브,"강원도 원주시 문막읍 동화공단로 130-2, 원주벤처공장 1동 104호",강원도 원주시 문막읍 동화리 1642-5번지 원주벤처공장 1동 104호,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주우산일반산업단지,주식회사농협사료원주배합사료공장,033-730-8900,50,배합사료,강원도 원주시 우산로 208 (우산동),강원도 원주시 우산동 400-3번지,배합 사료 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,창대영농조합법인,033-731-4408,12,"단무지, 김밥우엉",강원도 원주시 문막읍 문막공단길 242,강원도 원주시 문막읍 반계리 5-24번지,김치류 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,창우이엔지(주),,4,상하수처리기계,"강원도 원주시 태장공단길 54-4 (태장동, 한미실업(주))",강원도 원주시 태장동 1720-13번지 한미실업(주),컨베이어장치 제조업 외 7 종,강원도 원주시,033-737-2982,2021-10-31
원주우산일반산업단지,천일신약,033-748-1810,3,한약재,강원도 원주시 우산로 180-18 (우산동),강원도 원주시 우산동 411-13번지,한의약품 제조업,강원도 원주시,033-737-2982,2021-10-31
원주동화일반산업단지,카멕스이엠(주),031-907-9415,11,수처리류,강원도 원주시 문막읍 동화공단로 62 ((주)카멕스이엠),강원도 원주시 문막읍 동화리 1671-2번지,그 외 기타 특수목적용 기계 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,케이에스,033-734-0288,3,"유량계, 전기자동제어반, 프로세서제어반",강원도 원주시 태장공단길 59 (태장동),강원도 원주시 태장동 1720-4번지,속도계 및 적산계기 제조업 외 9 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,코니터프 주식회사,070-4245-3851,2,리프트(의료기기)및롤업셰이드,강원도 원주시 태장공단길 54-5 (태장동),강원도 원주시 태장동 1720-52번지,커튼 및 유사제품 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,클래드코리아 원주(주),070-8290-6402,4,임플란트,"강원도 원주시 문막읍 동화공단로 130-2, 원주벤처공장2 104호",강원도 원주시 문막읍 동화리 1642-5번지 원주벤처공장2 104호,정형외과용 및 신체보정용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,클린프로텍,033-747-3149,3,공기청정장치,"강원도 원주시 태장공단길 51, 에이동 103호 (태장동)",강원도 원주시 태장동 1720-38번지 에이동 103호,기체 여과기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주문막지방산업단지,태영산업,,15, 플라스틱 화장품용기,강원도 원주시 문막읍 문막공단길 196,강원도 원주시 문막읍 반계리 2224 번지,그 외 기타 플라스틱 제품 제조업,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,태영산업-임대기간만료,033-732-8351,11,프라스틱제품 인쇄,강원도 원주시 문막읍 문막공단길 53 (비콤시스템),강원도 원주시 문막읍 반계리 5-18번지,기타 인쇄업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,토다이수(주) 제1공장,033-730-1716,335,전자관및 전자제품,강원도 원주시 문막읍 문막공단길 236 (문막읍),강원도 원주시 문막읍 반계리 5-12번지,그 외 기타 전자부품 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,티원주식회사,033-742-9600,9,"천막, 캔버스제품, 파고라, 조립식구조물",강원도 원주시 태장공단길 54-5 (태장동),강원도 원주시 태장공단길 54-5 (태장동),"천막, 텐트 및 유사 제품 제조업 외 2 종",강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,티제이엔테크,033-748-8658,5,"제진기,탈취기,여과기,밸브,크레인,수문,금속조립구조재",강원도 원주시 태장공단길 54-8 (태장동),강원도 원주시 태장동 1720-58번지,액체 여과기 제조업 외 7 종,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,파란나라 주식회사,033-764-1790,6,"목재덱, 디자인울타리",강원도 원주시 문막읍 문막공단길 71,강원도 원주시 문막읍 반계리 2184-0,일반 제재업 외 5 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,필조형문화연구소,033-731-0091,2,"F.R.P 성형제품, 전시용 모형","강원도 원주시 태장공단길 54-8, C동 (태장동)",강원도 원주시 태장동 1720-58번지 C동,기타 플라스틱 발포 성형제품 제조업 외 5 종,강원도 원주시,033-737-2982,2021-10-31
원주문막지방산업단지,학교법인고황재단(경희한약),033-731-5971,14,한의약재,강원도 원주시 문막읍 문막공단길 99 (문막한약가공공장),강원도 원주시 문막읍 반계리 2236-3번지,한의약품 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,학산전력(주),033-743-0100,,분전반,강원도 원주시 태장공단길 42-7 (태장동),강원도 원주시 태장동 1720-19,배전반 및 전기 자동제어반 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,한국디지탈전자간판(주),033-748-7700,6,LED전자간판,강원도 원주시 태장동 1720-36번지,강원도 원주시 태장동 1720-36번지,전시 및 광고용 조명장치 제조업,강원도 원주시,033-737-2982,2021-10-31
원주문막지방산업단지,한국모노레일(주),033-732-7137,42,모노레일,강원도 원주시 문막읍 문막공단길 192 (한국모노레일원주공장),강원도 원주시 문막읍 반계리 2227번지,기관차 및 기타 철도차량 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,한국바우텍(주),033-747-7076,2,"스텐레스연도,트레일러,특장차, 이동식화장실, 자동차부품, 저속전동차,견인차,금속구조물",강원도 원주시 태장공단길 54-4 (태장동),강원도 원주시 태장동 1720-13,구조용 금속 판제품 및 공작물 제조업 외 13 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,한국아트콘텐츠(주),033-734-3701,6,전시조형물,"강원도 원주시 태장공단길 54-2 (태장동, (주)아신)",강원도 원주시 태장동 1720-12번지,전시용 모형 제조업 외 2 종,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,한국유니온제약(주),033-731-2804,92,의약품,강원도 원주시 문막읍 문막공단길 246,강원도 원주시 문막읍 반계리 5-9번지,완제 의약품 제조업,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,한국유니온제약(주) 제2공장,033-731-2804,30,"의약품(케포돈주, 프로신주)",강원도 원주시 문막읍 문막공단길 247,강원도 원주시 문막읍 반계리 5-42,완제 의약품 제조업,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,한국유니온제약(주) 제3공장,033-731-2804,16,보건용 마스크,강원도 원주시 문막읍 문막공단길 250,강원도 원주시 문막읍 반계리 5-8,기타 직물제품 제조업,강원도 원주시,033-737-2982,2021-10-31
